                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.40683,                0.25116,                0.83533,                0.93806,                0.90723,                0.92278,                0.80176,                0.54598,                0.29608,                0.85865,             0.00014862,             0.00014862,             0.00014862
                     91,                0.40106,                0.24183,                0.83134,                0.92822,                0.90092,                0.92401,                0.80399,                0.54401,                0.29505,                0.85811,             0.00013625,             0.00013625,             0.00013625
                     92,                0.39915,                0.24426,                0.83236,                0.94024,                0.91145,                0.93815,                0.81181,                  0.532,                0.29193,                 0.8483,             0.00012387,             0.00012387,             0.00012387
                     93,                0.40443,                0.24692,                0.83981,                0.94382,                0.90435,                0.93523,                0.81096,                0.53315,                0.29217,                0.84656,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.4059,                0.24696,                 0.8358,                0.93782,                0.90723,                0.93204,                0.80888,                0.53194,                  0.299,                0.84384,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.39704,                0.23821,                0.83411,                0.91972,                0.91929,                0.93345,                0.81247,                 0.5318,                0.29544,                0.84649,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.4048,                0.24362,                0.83744,                0.94173,                 0.8993,                0.92882,                0.80659,                0.54515,                0.29327,                0.85658,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.39643,                0.24349,                0.83183,                0.93328,                0.90239,                0.93491,                0.80832,                0.53847,                0.29034,                0.85013,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.39624,                0.23818,                0.83131,                0.93539,                0.90222,                0.92826,                0.80603,                0.54827,                0.29223,                0.85796,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.38756,                0.23273,                0.82892,                0.95063,                 0.8959,                0.92395,                0.80229,                0.55035,                0.29066,                0.86362,              3.725e-05,              3.725e-05,              3.725e-05
